Rank,Pokemon,Usage %,Raw,%,Real,%
113,Meganium,0.15%,676,0.15%,548,0.14%
114,Hitmonlee,0.15%,670,0.15%,548,0.14%
115,Kingler,0.14%,646,0.14%,553,0.14%
116,Muk,0.14%,622,0.14%,529,0.14%
117,Walrein,0.14%,617,0.14%,506,0.13%
118,Clefable,0.13%,608,0.13%,466,0.12%
119,Gligar,0.13%,594,0.13%,463,0.12%
120,Politoed,0.13%,576,0.13%,554,0.14%
121,Golem,0.13%,570,0.13%,479,0.13%
122,Kangaskhan,0.12%,553,0.12%,476,0.12%
123,Pinsir,0.12%,537,0.12%,361,0.09%
124,Flareon,0.11%,515,0.11%,401,0.10%
125,Chansey,0.11%,510,0.11%,367,0.10%
126,Ninetales,0.11%,503,0.11%,411,0.11%
127,Raichu,0.10%,474,0.10%,410,0.11%
128,Granbull,0.09%,430,0.09%,347,0.09%
129,Feraligatr,0.09%,427,0.09%,307,0.08%
130,Kecleon,0.09%,425,0.09%,398,0.10%
131,Slowking,0.09%,405,0.09%,346,0.09%
132,Vileplume,0.09%,405,0.09%,322,0.08%
133,Seaking,0.09%,401,0.09%,321,0.08%
134,Volbeat,0.08%,373,0.08%,291,0.08%
135,Togetic,0.08%,372,0.08%,263,0.07%
136,Mawile,0.08%,356,0.08%,282,0.07%
137,Torkoal,0.07%,340,0.08%,298,0.08%
138,Manectric,0.07%,328,0.07%,279,0.07%
139,Primeape,0.07%,327,0.07%,256,0.07%
140,Absol,0.07%,312,0.07%,251,0.07%
141,Yanma,0.07%,310,0.07%,187,0.05%
142,Nidoqueen,0.06%,286,0.06%,258,0.07%
143,Rapidash,0.06%,280,0.06%,224,0.06%
144,Grumpig,0.06%,273,0.06%,242,0.06%
145,Victreebel,0.06%,272,0.06%,233,0.06%
146,Dunsparce,0.06%,269,0.06%,217,0.06%
147,Magmar,0.05%,243,0.05%,163,0.04%
148,Xatu,0.05%,242,0.05%,182,0.05%
149,Sharpedo,0.05%,232,0.05%,163,0.04%
150,Persian,0.05%,231,0.05%,196,0.05%
151,Murkrow,0.05%,217,0.05%,154,0.04%
152,Trapinch,0.05%,207,0.05%,125,0.03%
153,Sneasel,0.04%,201,0.04%,161,0.04%
154,Shuckle,0.04%,183,0.04%,141,0.04%
155,Stantler,0.04%,182,0.04%,176,0.05%
156,Sudowoodo,0.04%,170,0.04%,115,0.03%
157,Haunter,0.04%,167,0.04%,133,0.04%
158,Crawdaunt,0.03%,155,0.03%,110,0.03%
159,Arbok,0.03%,151,0.03%,112,0.03%
160,Bellossom,0.03%,150,0.03%,116,0.03%
161,Masquerain,0.03%,147,0.03%,90,0.02%
162,Venomoth,0.03%,140,0.03%,116,0.03%
163,Piloswine,0.03%,133,0.03%,110,0.03%
164,Beedrill,0.03%,132,0.03%,106,0.03%
165,Pidgeot,0.03%,130,0.03%,106,0.03%
166,Hitmonchan,0.03%,128,0.03%,98,0.03%
167,Tropius,0.03%,126,0.03%,103,0.03%
168,Swalot,0.03%,124,0.03%,100,0.03%
169,Nosepass,0.02%,107,0.02%,90,0.02%
170,Raticate,0.02%,105,0.02%,87,0.02%
171,Sentret,0.02%,104,0.02%,91,0.02%
