Rank,Pokemon,Usage %,Raw,%,Real,%
1,Latios,26.77%,23321,26.77%,18005,25.71%
2,Ferrothorn,25.93%,22591,25.93%,19938,28.47%
3,Tyranitar,25.65%,22346,25.65%,18983,27.10%
4,Starmie,25.24%,21991,25.24%,16959,24.21%
5,Garchomp,22.36%,19483,22.36%,15853,22.63%
6,Scizor,19.46%,16958,19.46%,13230,18.89%
7,Landorus-Therian,18.14%,15807,18.14%,13905,19.85%
8,Dragonite,18.12%,15786,18.12%,11342,16.19%
9,Excadrill,17.25%,15028,17.25%,11350,16.21%
10,Jirachi,16.76%,14601,16.76%,12132,17.32%
11,Politoed,15.50%,13501,15.50%,12326,17.60%
12,Keldeo,14.44%,12580,14.44%,9877,14.10%
13,Alakazam,14.23%,12396,14.23%,9229,13.18%
14,Volcarona,14.22%,12387,14.22%,9289,13.26%
15,Rotom-Wash,14.18%,12357,14.18%,10952,15.64%
16,Skarmory,11.71%,10201,11.71%,9087,12.97%
17,Gliscor,10.81%,9418,10.81%,7979,11.39%
18,Jellicent,9.98%,8691,9.98%,7007,10.00%
19,Breloom,9.89%,8618,9.89%,6684,9.54%
20,Thundurus-Therian,9.69%,8443,9.69%,6716,9.59%
21,Tentacruel,9.36%,8155,9.36%,6195,8.85%
22,Conkeldurr,9.18%,7998,9.18%,6503,9.29%
23,Reuniclus,9.02%,7856,9.02%,5904,8.43%
24,Magnezone,9.00%,7841,9.00%,6225,8.89%
25,Heatran,8.48%,7392,8.48%,6051,8.64%
26,Terrakion,7.26%,6327,7.26%,5103,7.29%
27,Kyurem-Black,6.37%,5552,6.37%,4316,6.16%
28,Hydreigon,6.27%,5459,6.27%,4336,6.19%
29,Blissey,5.43%,4733,5.43%,3871,5.53%
30,Mamoswine,5.40%,4702,5.40%,3687,5.26%
31,Gengar,5.29%,4609,5.29%,3488,4.98%
32,Gyarados,5.23%,4561,5.24%,3516,5.02%
33,Hippowdon,5.02%,4373,5.02%,3871,5.53%
34,Forretress,4.97%,4332,4.97%,3773,5.39%
35,Ninetales,4.68%,4075,4.68%,3510,5.01%
36,Salamence,4.38%,3818,4.38%,2917,4.17%
37,Infernape,4.16%,3626,4.16%,2877,4.11%
38,Latias,3.93%,3426,3.93%,2572,3.67%
39,Celebi,3.76%,3279,3.76%,2727,3.89%
40,Lucario,3.52%,3064,3.52%,2296,3.28%
41,Chandelure,3.18%,2768,3.18%,2158,3.08%
42,Chansey,2.88%,2513,2.88%,2015,2.88%
43,Haxorus,2.87%,2503,2.87%,1754,2.50%
44,Weavile,2.80%,2436,2.80%,1686,2.41%
45,Amoonguss,2.75%,2399,2.75%,1823,2.60%
46,Espeon,2.68%,2336,2.68%,1870,2.67%
47,Tornadus,2.59%,2256,2.59%,1830,2.61%
48,Quagsire,2.56%,2232,2.56%,1550,2.21%
49,Clefable,2.56%,2227,2.56%,1900,2.71%
50,Abomasnow,2.44%,2123,2.44%,1890,2.70%
51,Xatu,2.40%,2092,2.40%,1702,2.43%
52,Gastrodon,2.39%,2079,2.39%,1661,2.37%
53,Mienshao,2.31%,2013,2.31%,1707,2.44%
54,Bronzong,2.24%,1954,2.24%,1701,2.43%
55,Metagross,2.22%,1937,2.22%,1569,2.24%
56,Azelf,2.18%,1901,2.18%,1798,2.57%
57,Victini,2.10%,1827,2.10%,1467,2.10%
58,Toxicroak,2.09%,1820,2.09%,1346,1.92%
59,Donphan,2.06%,1797,2.06%,1509,2.16%
60,Darmanitan,2.01%,1748,2.01%,1359,1.94%
61,Slowbro,1.91%,1664,1.91%,1437,2.05%
62,Cofagrigus,1.89%,1644,1.89%,1320,1.89%
63,Sableye,1.80%,1565,1.80%,1253,1.79%
64,Slowking,1.79%,1556,1.79%,1308,1.87%
65,Zapdos,1.57%,1364,1.57%,1145,1.64%
66,Togekiss,1.46%,1273,1.46%,1027,1.47%
67,Aerodactyl,1.44%,1258,1.44%,1166,1.67%
68,Jolteon,1.43%,1245,1.43%,1005,1.44%
69,Scrafty,1.43%,1243,1.43%,986,1.41%
70,Krookodile,1.42%,1238,1.42%,975,1.39%
71,Hitmontop,1.33%,1159,1.33%,904,1.29%
72,Eelektross,1.30%,1133,1.30%,945,1.35%
73,Seismitoad,1.30%,1133,1.30%,990,1.41%
74,Mew,1.30%,1129,1.30%,977,1.40%
75,Blastoise,1.29%,1125,1.29%,940,1.34%
76,Alomomola,1.22%,1065,1.22%,776,1.11%
77,Staraptor,1.21%,1051,1.21%,837,1.20%
78,Zoroark,1.21%,1050,1.21%,372,0.53%
79,Arcanine,1.13%,984,1.13%,792,1.13%
80,Umbreon,1.05%,917,1.05%,721,1.03%
81,Honchkrow,1.05%,914,1.05%,716,1.02%
82,Machamp,1.02%,893,1.03%,733,1.05%
83,Bisharp,1.01%,879,1.01%,650,0.93%
84,Heracross,0.97%,847,0.97%,663,0.95%
85,Spiritomb,0.96%,838,0.96%,678,0.97%
86,Milotic,0.95%,832,0.96%,681,0.97%
87,Froslass,0.94%,819,0.94%,643,0.92%
88,Nidoking,0.91%,791,0.91%,642,0.92%
89,Sigilyph,0.88%,766,0.88%,605,0.86%
90,Vaporeon,0.86%,748,0.86%,605,0.86%
91,Suicune,0.83%,727,0.83%,563,0.80%
92,Durant,0.83%,720,0.83%,559,0.80%
93,Venusaur,0.82%,718,0.82%,547,0.78%
94,Whimsicott,0.82%,717,0.82%,639,0.91%
95,Snorlax,0.81%,706,0.81%,569,0.81%
96,Crobat,0.79%,691,0.79%,536,0.77%
97,Porygon2,0.75%,657,0.75%,545,0.78%
98,Cresselia,0.75%,650,0.75%,537,0.77%
99,Ditto,0.74%,647,0.74%,421,0.60%
100,Pikachu,0.73%,636,0.73%,363,0.52%
101,Empoleon,0.72%,631,0.72%,517,0.74%
102,Claydol,0.72%,631,0.72%,508,0.73%
103,Galvantula,0.71%,618,0.71%,474,0.68%
104,Samurott,0.71%,615,0.71%,478,0.68%
105,Roserade,0.70%,609,0.70%,481,0.69%
106,Serperior,0.67%,587,0.67%,473,0.68%
107,Golurk,0.66%,578,0.66%,474,0.68%
108,Liepard,0.66%,577,0.66%,458,0.65%
109,Kingdra,0.66%,572,0.66%,443,0.63%
110,Kyurem,0.65%,566,0.65%,449,0.64%
111,Ludicolo,0.64%,557,0.64%,439,0.63%
112,Charizard,0.63%,547,0.63%,438,0.63%
113,Omastar,0.59%,514,0.59%,388,0.55%
114,Tangrowth,0.59%,511,0.59%,416,0.59%
115,Rhyperior,0.56%,489,0.56%,369,0.53%
116,Swampert,0.54%,468,0.54%,392,0.56%
117,Mandibuzz,0.52%,455,0.52%,374,0.53%
118,Sceptile,0.52%,454,0.52%,357,0.51%
119,Escavalier,0.51%,443,0.51%,358,0.51%
120,Ambipom,0.49%,429,0.49%,344,0.49%
121,Drapion,0.49%,426,0.49%,299,0.43%
122,Emboar,0.48%,420,0.48%,338,0.48%
123,Druddigon,0.48%,414,0.48%,355,0.51%
124,Magneton,0.46%,405,0.47%,348,0.50%
125,Flygon,0.46%,404,0.46%,330,0.47%
126,Riolu,0.46%,402,0.46%,274,0.39%
127,Dusclops,0.45%,396,0.46%,337,0.48%
128,Sharpedo,0.45%,395,0.45%,304,0.43%
129,Rotom-Mow,0.45%,393,0.45%,303,0.43%
130,Moltres,0.44%,379,0.44%,317,0.45%
131,Lapras,0.42%,369,0.42%,266,0.38%
132,Rotom-Frost,0.42%,367,0.42%,280,0.40%
133,Azumarill,0.42%,365,0.42%,271,0.39%
134,Accelgor,0.42%,364,0.42%,322,0.46%
135,Archeops,0.40%,347,0.40%,298,0.43%
136,Feraligatr,0.39%,337,0.39%,243,0.35%
137,Weezing,0.36%,313,0.36%,252,0.36%
138,Lanturn,0.36%,312,0.36%,279,0.40%
139,Rotom-Heat,0.35%,301,0.35%,260,0.37%
140,Nidoqueen,0.34%,297,0.34%,263,0.38%
141,Braviary,0.34%,295,0.34%,227,0.32%
142,Porygon-Z,0.33%,291,0.33%,219,0.31%
143,Hitmonchan,0.33%,289,0.33%,220,0.31%
