Rank,Pokemon,Usage %,Raw,%,Real,%
144,Drifblim,0.32%,283,0.33%,217,0.31%
145,Dusknoir,0.32%,281,0.32%,237,0.34%
146,Crustle,0.32%,280,0.32%,226,0.32%
147,Yanmega,0.31%,271,0.31%,222,0.32%
148,Garbodor,0.31%,268,0.31%,209,0.30%
149,Meloetta,0.29%,254,0.29%,206,0.29%
150,Gallade,0.29%,253,0.29%,205,0.29%
151,Medicham,0.29%,252,0.29%,180,0.26%
152,Slaking,0.28%,248,0.29%,161,0.23%
153,Swellow,0.28%,242,0.28%,186,0.27%
154,Exeggutor,0.28%,241,0.28%,163,0.23%
155,Cinccino,0.28%,240,0.28%,185,0.26%
156,Aggron,0.28%,240,0.28%,203,0.29%
157,Lilligant,0.27%,233,0.27%,181,0.26%
158,Raikou,0.26%,230,0.26%,177,0.25%
159,Mismagius,0.26%,230,0.26%,182,0.26%
160,Bouffalant,0.26%,228,0.26%,193,0.28%
161,Shedinja,0.26%,227,0.26%,153,0.22%
162,Aron,0.26%,227,0.26%,194,0.28%
163,Marowak,0.25%,218,0.25%,160,0.23%
164,Electivire,0.25%,216,0.25%,181,0.26%
165,Virizion,0.24%,211,0.24%,171,0.24%
166,Zebstrika,0.23%,202,0.23%,172,0.25%
167,Rotom,0.22%,191,0.22%,153,0.22%
168,Cobalion,0.22%,190,0.22%,175,0.25%
169,Cradily,0.22%,188,0.22%,157,0.22%
170,Torkoal,0.21%,185,0.21%,162,0.23%
171,Gardevoir,0.21%,179,0.21%,145,0.21%
172,Gigalith,0.20%,178,0.20%,138,0.20%
173,Arbok,0.20%,175,0.20%,133,0.19%
174,Houndoom,0.20%,174,0.20%,132,0.19%
175,Hitmonlee,0.20%,172,0.20%,128,0.18%
176,Scyther,0.19%,169,0.19%,124,0.18%
177,Scolipede,0.19%,166,0.19%,133,0.19%
178,Glaceon,0.19%,165,0.19%,106,0.15%
179,Flareon,0.19%,164,0.19%,121,0.17%
180,Klinklang,0.19%,163,0.19%,126,0.18%
181,Raichu,0.19%,162,0.19%,136,0.19%
182,Leafeon,0.18%,161,0.19%,125,0.18%
183,Walrein,0.18%,156,0.18%,128,0.18%
184,Shaymin,0.18%,156,0.18%,125,0.18%
185,Mawile,0.18%,156,0.18%,148,0.21%
186,Torterra,0.18%,155,0.18%,141,0.20%
187,Emolga,0.17%,152,0.17%,115,0.16%
188,Cryogonal,0.17%,152,0.17%,127,0.18%
189,Ursaring,0.17%,147,0.17%,109,0.16%
190,Audino,0.17%,146,0.17%,121,0.17%
191,Manectric,0.16%,138,0.16%,111,0.16%
192,Steelix,0.15%,133,0.15%,114,0.16%
193,Uxie,0.15%,127,0.15%,119,0.17%
194,Crawdaunt,0.14%,125,0.14%,97,0.14%
195,Carracosta,0.14%,120,0.14%,100,0.14%
196,Stoutland,0.14%,119,0.14%,89,0.13%
197,Dugtrio,0.13%,116,0.13%,91,0.13%
198,Typhlosion,0.13%,112,0.13%,90,0.13%
199,Swanna,0.13%,111,0.13%,94,0.13%
200,Persian,0.13%,111,0.13%,86,0.12%
201,Regice,0.13%,111,0.13%,76,0.11%
202,Muk,0.13%,111,0.13%,74,0.11%
203,Ampharos,0.13%,110,0.13%,82,0.12%
204,Mantine,0.13%,110,0.13%,91,0.13%
205,Throh,0.12%,107,0.12%,80,0.11%
206,Venomoth,0.12%,105,0.12%,69,0.10%
207,Golem,0.12%,101,0.12%,83,0.12%
208,Shuckle,0.12%,101,0.12%,84,0.12%
209,Electrode,0.11%,98,0.11%,83,0.12%
210,Kabutops,0.11%,97,0.11%,76,0.11%
211,Musharna,0.11%,95,0.11%,79,0.11%
212,Hariyama,0.11%,94,0.11%,73,0.10%
213,Zangoose,0.11%,93,0.11%,64,0.09%
214,Probopass,0.11%,93,0.11%,82,0.12%
215,Stunfisk,0.11%,93,0.11%,73,0.10%
216,Vanilluxe,0.10%,88,0.10%,62,0.09%
217,Jynx,0.10%,85,0.10%,66,0.09%
218,Castform,0.10%,84,0.10%,66,0.09%
219,Golbat,0.10%,84,0.10%,71,0.10%
220,Leavanny,0.10%,83,0.10%,65,0.09%
221,Murkrow,0.10%,83,0.10%,68,0.10%
222,Granbull,0.09%,82,0.09%,75,0.11%
223,Camerupt,0.09%,81,0.09%,72,0.10%
224,Poliwrath,0.09%,80,0.09%,64,0.09%
225,Unfezant,0.09%,80,0.09%,75,0.11%
226,Octillery,0.09%,80,0.09%,56,0.08%
227,Parasect,0.09%,79,0.09%,66,0.09%
228,Beartic,0.09%,79,0.09%,56,0.08%
229,Watchog,0.09%,77,0.09%,55,0.08%
230,Swoobat,0.09%,77,0.09%,63,0.09%
231,Registeel,0.09%,75,0.09%,60,0.09%
232,Lickilicky,0.08%,73,0.08%,56,0.08%
233,Eevee,0.08%,70,0.08%,35,0.05%
234,Cacturne,0.08%,70,0.08%,60,0.09%
235,Miltank,0.08%,69,0.08%,59,0.08%
236,Linoone,0.08%,67,0.08%,42,0.06%
237,Magmortar,0.08%,66,0.08%,48,0.07%
238,Beheeyem,0.08%,66,0.08%,45,0.06%
239,Primeape,0.08%,66,0.08%,57,0.08%
240,Simisear,0.07%,62,0.07%,47,0.07%
241,Girafarig,0.07%,62,0.07%,49,0.07%
242,Spinda,0.07%,62,0.07%,43,0.06%
243,Rampardos,0.07%,61,0.07%,41,0.06%
244,Gothitelle,0.07%,59,0.07%,44,0.06%
245,Raticate,0.07%,59,0.07%,38,0.05%
246,Gible,0.07%,58,0.07%,46,0.07%
247,Magmar,0.07%,58,0.07%,38,0.05%
248,Electabuzz,0.06%,55,0.06%,44,0.06%
249,Wailord,0.06%,54,0.06%,39,0.06%
250,Simipour,0.06%,53,0.06%,39,0.06%
251,Rhydon,0.06%,53,0.06%,48,0.07%
252,Pelipper,0.06%,52,0.06%,48,0.07%
253,Absol,0.06%,52,0.06%,36,0.05%
254,Sawsbuck,0.06%,49,0.06%,40,0.06%
255,Rapidash,0.06%,48,0.06%,37,0.05%
256,Armaldo,0.06%,48,0.06%,41,0.06%
257,Relicanth,0.06%,48,0.06%,33,0.05%
258,Hippopotas,0.06%,48,0.06%,46,0.07%
259,Magcargo,0.06%,48,0.06%,31,0.04%
260,Sawk,0.05%,47,0.05%,45,0.06%
261,Hypno,0.05%,46,0.05%,33,0.05%
262,Golduck,0.05%,46,0.05%,36,0.05%
263,Entei,0.05%,46,0.05%,34,0.05%
264,Fearow,0.05%,45,0.05%,28,0.04%
265,Tropius,0.05%,45,0.05%,31,0.04%
266,Rattata,0.05%,44,0.05%,34,0.05%
267,Altaria,0.05%,44,0.05%,39,0.06%
268,Illumise,0.05%,43,0.05%,37,0.05%
269,Combusken,0.05%,43,0.05%,31,0.04%
270,Seviper,0.05%,43,0.05%,37,0.05%
271,Smeargle,0.05%,42,0.05%,32,0.05%
272,Floatzel,0.05%,41,0.05%,36,0.05%
273,Wobbuffet,0.05%,41,0.05%,32,0.05%
274,Dunsparce,0.05%,40,0.05%,36,0.05%
275,Meganium,0.04%,39,0.05%,31,0.04%
276,Lopunny,0.04%,39,0.05%,36,0.05%
277,Kingler,0.04%,39,0.05%,31,0.04%
278,Qwilfish,0.04%,38,0.04%,36,0.05%
279,Luxray,0.04%,37,0.04%,30,0.04%
280,Regirock,0.04%,37,0.04%,26,0.04%
281,Pidgeot,0.04%,36,0.04%,31,0.04%
282,Simisage,0.04%,36,0.04%,28,0.04%
283,Ariados,0.04%,36,0.04%,32,0.05%
284,Kadabra,0.04%,35,0.04%,31,0.04%
285,Bastiodon,0.04%,35,0.04%,29,0.04%
286,Vileplume,0.04%,35,0.04%,23,0.03%
287,Mr. Mime,0.04%,34,0.04%,30,0.04%
288,Kangaskhan,0.04%,34,0.04%,33,0.05%
289,Roselia,0.04%,32,0.04%,26,0.04%
290,Basculin,0.04%,32,0.04%,24,0.03%
291,Duskull,0.04%,32,0.04%,30,0.04%
292,Tauros,0.04%,31,0.04%,26,0.04%
293,Scraggy,0.03%,30,0.03%,24,0.03%
294,Haunter,0.03%,30,0.03%,23,0.03%
295,Dodrio,0.03%,29,0.03%,24,0.03%
296,Masquerain,0.03%,29,0.03%,21,0.03%
297,Magnemite,0.03%,29,0.03%,19,0.03%
298,Mightyena,0.03%,27,0.03%,22,0.03%
299,Pinsir,0.03%,27,0.03%,22,0.03%
300,Whiscash,0.03%,26,0.03%,22,0.03%
301,Ferroseed,0.03%,25,0.03%,12,0.02%
302,Nosepass,0.03%,24,0.03%,18,0.03%
303,Articuno,0.03%,24,0.03%,19,0.03%
304,Bronzor,0.03%,24,0.03%,22,0.03%
305,Onix,0.03%,23,0.03%,20,0.03%
306,Banette,0.03%,23,0.03%,15,0.02%
307,Regigigas,0.03%,22,0.03%,18,0.03%
308,Pignite,0.03%,22,0.03%,21,0.03%
309,Boldore,0.03%,22,0.03%,22,0.03%
310,Skuntank,0.03%,22,0.03%,16,0.02%
311,Jumpluff,0.02%,21,0.02%,15,0.02%
312,Dewgong,0.02%,21,0.02%,17,0.02%
313,Seadra,0.02%,21,0.02%,20,0.03%
314,Bibarel,0.02%,21,0.02%,11,0.02%
315,Duosion,0.02%,21,0.02%,16,0.02%
316,Ninjask,0.02%,21,0.02%,17,0.02%
317,Pineco,0.02%,21,0.02%,20,0.03%
318,Grumpig,0.02%,21,0.02%,17,0.02%
319,Farfetch'd,0.02%,21,0.02%,12,0.02%
320,Psyduck,0.02%,21,0.02%,21,0.03%
321,Pachirisu,0.02%,20,0.02%,17,0.02%
322,Heatmor,0.02%,19,0.02%,15,0.02%
323,Taillow,0.02%,19,0.02%,10,0.01%
324,Victreebel,0.02%,18,0.02%,12,0.02%
325,Kecleon,0.02%,17,0.02%,14,0.02%
326,Palpitoad,0.02%,16,0.02%,14,0.02%
327,Natu,0.02%,16,0.02%,9,0.01%
328,Sunflora,0.02%,16,0.02%,8,0.01%
329,Wooper,0.02%,15,0.02%,11,0.02%
330,Clefairy,0.02%,14,0.02%,13,0.02%
331,Piloswine,0.02%,14,0.02%,14,0.02%
332,Gligar,0.02%,14,0.02%,10,0.01%
333,Cottonee,0.02%,14,0.02%,10,0.01%
334,Dewott,0.02%,14,0.02%,11,0.02%
335,Clamperl,0.01%,13,0.02%,8,0.01%
336,Purugly,0.01%,13,0.02%,9,0.01%
337,Stantler,0.01%,13,0.02%,13,0.02%
338,Meditite,0.01%,13,0.02%,12,0.02%
339,Mantyke,0.01%,13,0.02%,11,0.02%
340,Baltoy,0.01%,13,0.02%,13,0.02%
341,Vigoroth,0.01%,13,0.02%,11,0.02%
342,Mesprit,0.01%,13,0.02%,11,0.02%
343,Butterfree,0.01%,13,0.02%,11,0.02%
344,Golett,0.01%,12,0.01%,12,0.02%
345,Snivy,0.01%,12,0.01%,10,0.01%
346,Oshawott,0.01%,12,0.01%,11,0.02%
347,Vespiquen,0.01%,12,0.01%,8,0.01%
348,Furret,0.01%,12,0.01%,10,0.01%
349,Swalot,0.01%,12,0.01%,4,0.01%
350,Wigglytuff,0.01%,11,0.01%,10,0.01%
351,Tangela,0.01%,11,0.01%,10,0.01%
352,Zweilous,0.01%,11,0.01%,10,0.01%
353,Misdreavus,0.01%,11,0.01%,8,0.01%
354,Frillish,0.01%,11,0.01%,10,0.01%
355,Volbeat,0.01%,11,0.01%,10,0.01%
356,Lunatone,0.01%,10,0.01%,10,0.01%
357,Koffing,0.01%,10,0.01%,9,0.01%
358,Plusle,0.01%,10,0.01%,8,0.01%
359,Maractus,0.01%,9,0.01%,8,0.01%
360,Magikarp,0.01%,9,0.01%,8,0.01%
361,Beedrill,0.01%,9,0.01%,9,0.01%
362,Metang,0.01%,9,0.01%,9,0.01%
363,Noctowl,0.01%,9,0.01%,7,0.01%
364,Exploud,0.01%,8,0.01%,8,0.01%
365,Slugma,0.01%,8,0.01%,8,0.01%
366,Bellossom,0.01%,8,0.01%,7,0.01%
367,Gurdurr,0.01%,8,0.01%,7,0.01%
368,Bulbasaur,0.01%,8,0.01%,6,0.01%
369,Squirtle,0.01%,8,0.01%,7,0.01%
370,Beldum,0.01%,8,0.01%,8,0.01%
371,Huntail,0.01%,8,0.01%,6,0.01%
372,Unown,0.01%,7,0.01%,6,0.01%
373,Cherrim,0.01%,7,0.01%,6,0.01%
374,Kakuna,0.01%,7,0.01%,6,0.01%
375,Shelgon,0.01%,7,0.01%,6,0.01%
376,Wartortle,0.01%,7,0.01%,7,0.01%
377,Gorebyss,0.01%,6,0.01%,5,0.01%
378,Shellder,0.01%,6,0.01%,6,0.01%
379,Munchlax,0.01%,6,0.01%,2,0.00%
380,Bidoof,0.01%,6,0.01%,6,0.01%
381,Delcatty,0.01%,6,0.01%,5,0.01%
382,Sneasel,0.01%,6,0.01%,5,0.01%
383,Beautifly,0.01%,6,0.01%,4,0.01%
384,Corsola,0.01%,6,0.01%,4,0.01%
385,Porygon,0.01%,6,0.01%,5,0.01%
386,Shiftry,0.01%,5,0.01%,4,0.01%
387,Wynaut,0.01%,5,0.01%,3,0.00%
388,Sudowoodo,0.01%,5,0.01%,2,0.00%
389,Yanma,0.01%,5,0.01%,5,0.01%
390,Lumineon,0.01%,5,0.01%,1,0.00%
391,Snover,0.01%,5,0.01%,4,0.01%
392,Delibird,0.01%,5,0.01%,3,0.00%
393,Numel,0.00%,4,0.01%,4,0.01%
394,Buizel,0.00%,4,0.01%,4,0.01%
395,Seaking,0.00%,4,0.01%,2,0.00%
396,Machoke,0.00%,4,0.01%,4,0.01%
397,Deerling,0.00%,4,0.01%,4,0.01%
398,Litwick,0.00%,4,0.01%,2,0.00%
399,Charmeleon,0.00%,4,0.01%,4,0.01%
400,Mareep,0.00%,4,0.01%,4,0.01%
401,Rotom-Fan,0.00%,4,0.01%,3,0.00%
402,Pansear,0.00%,4,0.01%,4,0.01%
403,Chimecho,0.00%,4,0.01%,3,0.00%
404,Buneary,0.00%,4,0.01%,3,0.00%
405,Foongus,0.00%,3,0.00%,3,0.00%
406,Growlithe,0.00%,3,0.00%,3,0.00%
407,Glalie,0.00%,3,0.00%,1,0.00%
408,Solrock,0.00%,3,0.00%,2,0.00%
409,Phanpy,0.00%,3,0.00%,3,0.00%
410,Slakoth,0.00%,3,0.00%,3,0.00%
411,Omanyte,0.00%,3,0.00%,3,0.00%
412,Skorupi,0.00%,3,0.00%,3,0.00%
413,Whirlipede,0.00%,3,0.00%,2,0.00%
414,Spheal,0.00%,3,0.00%,1,0.00%
415,Luvdisc,0.00%,3,0.00%,3,0.00%
416,Starly,0.00%,3,0.00%,2,0.00%
417,Swinub,0.00%,3,0.00%,2,0.00%
418,Eelektrik,0.00%,3,0.00%,3,0.00%
419,Surskit,0.00%,3,0.00%,3,0.00%
420,Poochyena,0.00%,3,0.00%,3,0.00%
421,Shinx,0.00%,3,0.00%,2,0.00%
422,Abra,0.00%,3,0.00%,2,0.00%
423,Weedle,0.00%,3,0.00%,3,0.00%
424,Graveler,0.00%,3,0.00%,2,0.00%
425,Gabite,0.00%,2,0.00%,2,0.00%
426,Carvanha,0.00%,2,0.00%,2,0.00%
427,Paras,0.00%,2,0.00%,2,0.00%
428,Corphish,0.00%,2,0.00%,2,0.00%
429,Feebas,0.00%,2,0.00%,2,0.00%
430,Ponyta,0.00%,2,0.00%,2,0.00%
431,Drilbur,0.00%,2,0.00%,2,0.00%
432,Mime Jr.,0.00%,2,0.00%,2,0.00%
433,Caterpie,0.00%,2,0.00%,1,0.00%
434,Purrloin,0.00%,2,0.00%,2,0.00%
435,Carnivine,0.00%,2,0.00%,2,0.00%
436,Chatot,0.00%,2,0.00%,2,0.00%
437,Ivysaur,0.00%,2,0.00%,2,0.00%
438,Voltorb,0.00%,2,0.00%,2,0.00%
439,Metapod,0.00%,2,0.00%,2,0.00%
440,Dustox,0.00%,2,0.00%,1,0.00%
441,Vulpix,0.00%,2,0.00%,2,0.00%
442,Sunkern,0.00%,2,0.00%,1,0.00%
443,Skitty,0.00%,2,0.00%,2,0.00%
444,Magby,0.00%,2,0.00%,2,0.00%
445,Sewaddle,0.00%,2,0.00%,2,0.00%
446,Larvesta,0.00%,1,0.00%,1,0.00%
447,Croagunk,0.00%,1,0.00%,1,0.00%
448,Bayleef,0.00%,1,0.00%,1,0.00%
449,Anorith,0.00%,1,0.00%,1,0.00%
450,Swadloon,0.00%,1,0.00%,1,0.00%
451,Luxio,0.00%,1,0.00%,1,0.00%
452,Lairon,0.00%,1,0.00%,1,0.00%
453,Poliwhirl,0.00%,1,0.00%,1,0.00%
454,Zubat,0.00%,1,0.00%,0,0.00%
455,Zigzagoon,0.00%,1,0.00%,0,0.00%
456,Snorunt,0.00%,1,0.00%,0,0.00%
457,Tepig,0.00%,1,0.00%,1,0.00%
458,Togetic,0.00%,1,0.00%,1,0.00%
459,Tranquill,0.00%,1,0.00%,0,0.00%
460,Timburr,0.00%,1,0.00%,1,0.00%
461,Gothorita,0.00%,1,0.00%,1,0.00%
462,Fraxure,0.00%,1,0.00%,1,0.00%
463,Azurill,0.00%,1,0.00%,1,0.00%
464,Pidove,0.00%,1,0.00%,1,0.00%
465,Wormadam-Trash,0.00%,1,0.00%,1,0.00%
466,Ledian,0.00%,1,0.00%,1,0.00%
467,Krokorok,0.00%,1,0.00%,1,0.00%
468,Ducklett,0.00%,1,0.00%,1,0.00%
469,Spoink,0.00%,1,0.00%,1,0.00%
470,Bagon,0.00%,1,0.00%,1,0.00%
471,Mienfoo,0.00%,1,0.00%,1,0.00%
472,Pansage,0.00%,1,0.00%,1,0.00%
473,Panpour,0.00%,1,0.00%,0,0.00%
474,Dragonair,0.00%,1,0.00%,1,0.00%
475,Doduo,0.00%,1,0.00%,0,0.00%
476,Treecko,0.00%,1,0.00%,0,0.00%
477,Pichu,0.00%,1,0.00%,1,0.00%
478,Ralts,0.00%,1,0.00%,1,0.00%
479,Nidorina,0.00%,1,0.00%,1,0.00%
480,Hoothoot,0.00%,1,0.00%,1,0.00%
481,Grovyle,0.00%,1,0.00%,1,0.00%
482,Herdier,0.00%,1,0.00%,1,0.00%
483,NidoranF,0.00%,1,0.00%,1,0.00%
484,Ekans,0.00%,1,0.00%,1,0.00%
485,Wormadam,0.00%,1,0.00%,1,0.00%
486,Chimchar,0.00%,1,0.00%,1,0.00%
487,Grotle,0.00%,1,0.00%,1,0.00%
488,Nuzleaf,0.00%,1,0.00%,1,0.00%
489,Nincada,0.00%,1,0.00%,1,0.00%
490,Wurmple,0.00%,1,0.00%,1,0.00%
491,Geodude,0.00%,1,0.00%,1,0.00%
492,Chikorita,0.00%,1,0.00%,1,0.00%
493,Gloom,0.00%,1,0.00%,1,0.00%
494,Charmander,0.00%,1,0.00%,1,0.00%
