Rank,Pokemon,Usage %,Raw,%,Real,%
1,Excadrill,29.95%,28155,29.95%,21775,29.00%
2,Landorus-Therian,18.31%,17208,18.31%,15214,20.26%
3,Clefable,16.56%,15563,16.56%,12490,16.63%
4,Serperior,16.41%,15428,16.41%,11897,15.84%
5,Rotom-Wash,13.26%,12462,13.26%,10907,14.53%
6,Ferrothorn,13.18%,12386,13.18%,10773,14.35%
7,Garchomp,12.77%,12009,12.78%,10138,13.50%
8,Zapdos,12.77%,12009,12.78%,10194,13.58%
9,Heatran,12.28%,11547,12.28%,9773,13.02%
10,Weavile,11.44%,10758,11.44%,8230,10.96%
11,Bisharp,11.04%,10380,11.04%,7689,10.24%
12,Talonflame,10.80%,10156,10.80%,7860,10.47%
13,Metagross-Mega,9.95%,9351,9.95%,7264,9.67%
14,Keldeo,9.82%,9229,9.82%,7476,9.96%
15,Tornadus-Therian,9.71%,9131,9.71%,7776,10.36%
16,Tyranitar,9.30%,8745,9.30%,7260,9.67%
17,Gliscor,9.04%,8501,9.04%,7129,9.49%
18,Volcarona,8.09%,7603,8.09%,5357,7.13%
19,Volcanion,7.86%,7393,7.86%,6008,8.00%
20,Dragonite,7.83%,7358,7.83%,5139,6.84%
21,Scizor-Mega,7.74%,7280,7.74%,5777,7.69%
22,Skarmory,7.57%,7113,7.57%,6113,8.14%
23,Gengar,7.49%,7042,7.49%,5159,6.87%
24,Thundurus,7.33%,6894,7.33%,5719,7.62%
25,Slowbro,7.08%,6652,7.08%,5276,7.03%
26,Lopunny-Mega,7.03%,6606,7.03%,5258,7.00%
27,Chansey,6.53%,6139,6.53%,4924,6.56%
28,Manaphy,6.46%,6071,6.46%,4582,6.10%
29,Latias,6.41%,6023,6.41%,4559,6.07%
30,Azumarill,6.20%,5824,6.20%,4546,6.05%
31,Latios,6.11%,5747,6.11%,4392,5.85%
32,Magnezone,5.92%,5565,5.92%,4397,5.86%
33,Starmie,5.36%,5036,5.36%,3910,5.21%
34,Charizard-Mega-Y,5.31%,4995,5.31%,4101,5.46%
35,Medicham-Mega,4.99%,4689,4.99%,3748,4.99%
36,Scizor,4.95%,4652,4.95%,3730,4.97%
37,Charizard-Mega-X,4.93%,4636,4.93%,3569,4.75%
38,Cloyster,4.88%,4589,4.88%,3246,4.32%
39,Alakazam-Mega,4.76%,4475,4.76%,3214,4.28%
40,Amoonguss,4.39%,4126,4.39%,3261,4.34%
41,Manectric-Mega,4.31%,4050,4.31%,3455,4.60%
42,Breloom,4.20%,3950,4.20%,3133,4.17%
43,Diancie-Mega,4.06%,3816,4.06%,3213,4.28%
44,Kyurem-Black,3.96%,3727,3.97%,2789,3.71%
45,Mew,3.90%,3669,3.90%,3212,4.28%
46,Gallade-Mega,3.63%,3411,3.63%,2518,3.35%
47,Tyranitar-Mega,3.55%,3333,3.55%,2742,3.65%
48,Gardevoir-Mega,3.41%,3207,3.41%,2328,3.10%
49,Togekiss,3.36%,3157,3.36%,2502,3.33%
50,Thundurus-Therian,3.35%,3145,3.35%,2249,3.00%
51,Pinsir-Mega,3.33%,3134,3.33%,2327,3.10%
52,Gyarados-Mega,3.28%,3085,3.28%,2437,3.25%
53,Azelf,3.22%,3027,3.22%,2801,3.73%
54,Jirachi,3.20%,3007,3.20%,2448,3.26%
55,Cresselia,3.07%,2883,3.07%,2342,3.12%
56,Crawdaunt,3.06%,2879,3.06%,2282,3.04%
57,Venusaur-Mega,2.98%,2798,2.98%,2263,3.01%
58,Politoed,2.93%,2751,2.93%,2545,3.39%
59,Hippowdon,2.86%,2685,2.86%,2398,3.19%
60,Espeon,2.68%,2517,2.68%,1951,2.60%
61,Infernape,2.56%,2404,2.56%,1931,2.57%
62,Tangrowth,2.56%,2404,2.56%,1953,2.60%
63,Hydreigon,2.55%,2394,2.55%,1932,2.57%
64,Shuckle,2.53%,2381,2.53%,1977,2.63%
65,Swampert-Mega,2.39%,2250,2.39%,1891,2.52%
66,Gastrodon,2.38%,2234,2.38%,1810,2.41%
67,Cofagrigus,2.33%,2194,2.33%,1776,2.37%
68,Latias-Mega,2.17%,2042,2.17%,1622,2.16%
69,Tentacruel,2.15%,2022,2.15%,1645,2.19%
70,Conkeldurr,2.12%,1995,2.12%,1596,2.13%
71,Gyarados,2.07%,1944,2.07%,1563,2.08%
72,Blissey,1.99%,1870,1.99%,1486,1.98%
73,Chandelure,1.99%,1868,1.99%,1407,1.87%
74,Kingdra,1.96%,1846,1.96%,1425,1.90%
75,Suicune,1.88%,1771,1.88%,1438,1.92%
76,Altaria-Mega,1.87%,1757,1.87%,1311,1.75%
77,Venusaur,1.77%,1662,1.77%,1229,1.64%
78,Quagsire,1.73%,1627,1.73%,1312,1.75%
79,Arcanine,1.72%,1614,1.72%,1284,1.71%
80,Sylveon,1.68%,1581,1.68%,1214,1.62%
81,Umbreon,1.67%,1571,1.67%,1276,1.70%
82,Nidoking,1.67%,1569,1.67%,1234,1.64%
83,Garchomp-Mega,1.66%,1564,1.66%,1177,1.57%
84,Snorlax,1.64%,1545,1.64%,1225,1.63%
85,Aerodactyl,1.63%,1530,1.63%,1465,1.95%
