Rank,Pokemon,Usage %,Raw,%,Real,%
117,Oddish,0.02%,6,0.02%,5,0.02%
118,Exeggcute,0.02%,6,0.02%,6,0.02%
119,Kakuna,0.01%,5,0.01%,4,0.01%
120,Koffing,0.01%,5,0.01%,5,0.02%
121,Zubat,0.01%,5,0.01%,4,0.01%
122,Wartortle,0.01%,5,0.01%,5,0.02%
123,Diglett,0.01%,5,0.01%,4,0.01%
124,Graveler,0.01%,5,0.01%,5,0.02%
125,Clefairy,0.01%,5,0.01%,5,0.02%
126,Farfetch'd,0.01%,4,0.01%,4,0.01%
127,Bellsprout,0.01%,4,0.01%,3,0.01%
128,NidoranF,0.01%,4,0.01%,3,0.01%
129,Nidorino,0.01%,3,0.01%,2,0.01%
130,Dratini,0.01%,3,0.01%,3,0.01%
131,Omanyte,0.01%,3,0.01%,3,0.01%
132,Gloom,0.01%,3,0.01%,3,0.01%
133,Psyduck,0.01%,3,0.01%,3,0.01%
134,Ekans,0.01%,2,0.01%,2,0.01%
135,Nidorina,0.01%,2,0.01%,2,0.01%
136,Goldeen,0.01%,2,0.01%,2,0.01%
137,Seel,0.01%,2,0.01%,2,0.01%
138,Doduo,0.01%,2,0.01%,1,0.00%
139,Grimer,0.00%,1,0.00%,1,0.00%
140,Mankey,0.00%,1,0.00%,1,0.00%
141,Spearow,0.00%,1,0.00%,1,0.00%
142,Magnemite,0.00%,1,0.00%,1,0.00%
143,Sandshrew,0.00%,1,0.00%,1,0.00%
144,Shellder,0.00%,1,0.00%,0,0.00%
