Rank,Pokemon,Usage %,Raw,%,Real,%
1,Great Tusk,27.97%,617645,27.97%,485969,27.65%
2,Kingambit,18.38%,405893,18.38%,279882,15.92%
3,Dragapult,16.13%,356112,16.13%,278795,15.86%
4,Gholdengo,15.90%,350962,15.90%,272279,15.49%
5,Ogerpon-Wellspring,15.37%,339384,15.37%,274285,15.60%
6,Dragonite,15.17%,335031,15.17%,244546,13.91%
7,Iron Valiant,12.96%,286160,12.96%,208175,11.84%
8,Slowking-Galar,12.51%,276251,12.51%,233578,13.29%
9,Zamazenta,12.40%,273777,12.40%,202059,11.50%
10,Raging Bolt,11.79%,260381,11.79%,203392,11.57%
11,Corviknight,11.79%,260318,11.79%,213822,12.17%
12,Hatterene,11.19%,247102,11.19%,192783,10.97%
13,Gliscor,11.17%,246705,11.17%,203991,11.61%
14,Landorus-Therian,11.12%,245578,11.12%,216699,12.33%
15,Cinderace,10.02%,221272,10.02%,174710,9.94%
16,Iron Moth,9.85%,217456,9.85%,166872,9.49%
17,Ting-Lu,9.82%,216908,9.82%,188417,10.72%
18,Kyurem,9.10%,200940,9.10%,158933,9.04%
19,Darkrai,8.71%,192342,8.71%,150241,8.55%
20,Iron Treads,8.64%,190722,8.64%,160542,9.13%
21,Samurott-Hisui,8.60%,189782,8.60%,169429,9.64%
22,Alomomola,8.27%,182583,8.27%,152473,8.67%
23,Scizor,8.26%,182364,8.26%,148435,8.45%
24,Ceruledge,8.13%,179523,8.13%,137249,7.81%
25,Zapdos,7.92%,174962,7.92%,148092,8.43%
26,Garganacl,7.38%,162995,7.38%,132299,7.53%
27,Walking Wake,7.05%,155698,7.05%,125592,7.15%
28,Glimmora,7.01%,154679,7.01%,137350,7.81%
29,Pecharunt,6.73%,148585,6.73%,121572,6.92%
30,Moltres,5.98%,132000,5.98%,111939,6.37%
31,Primarina,5.42%,119723,5.42%,98661,5.61%
32,Garchomp,5.08%,112263,5.08%,92448,5.26%
33,Araquanid,5.07%,111915,5.07%,102159,5.81%
34,Clefable,5.05%,111417,5.05%,88749,5.05%
35,Rillaboom,4.83%,106679,4.83%,87673,4.99%
36,Meowscarada,4.75%,104912,4.75%,85227,4.85%
37,Enamorus,4.71%,104079,4.71%,80678,4.59%
38,Weezing-Galar,4.71%,104020,4.71%,84162,4.79%
39,Iron Crown,4.64%,102547,4.64%,84112,4.79%
40,Heatran,4.39%,96949,4.39%,82008,4.67%
41,Deoxys-Speed,4.31%,95215,4.31%,80040,4.55%
42,Pelipper,4.25%,93947,4.26%,86751,4.94%
43,Weavile,4.12%,91074,4.13%,69950,3.98%
44,Ninetales,3.81%,84057,3.81%,77666,4.42%
45,Dondozo,3.73%,82460,3.74%,60106,3.42%
46,Ninetales-Alola,3.59%,79242,3.59%,70729,4.02%
47,Hydrapple,3.52%,77823,3.53%,61977,3.53%
48,Tyranitar,3.52%,77667,3.52%,67650,3.85%
49,Torkoal,3.37%,74513,3.38%,68286,3.89%
50,Toxapex,3.37%,74481,3.37%,61010,3.47%
51,Serperior,3.34%,73787,3.34%,57666,3.28%
52,Clodsire,3.24%,71558,3.24%,57572,3.28%
53,Hoopa-Unbound,2.82%,62286,2.82%,49580,2.82%
54,Tornadus-Therian,2.82%,62159,2.82%,53060,3.02%
55,Ursaluna,2.81%,61980,2.81%,49271,2.80%
56,Excadrill,2.78%,61487,2.79%,47219,2.69%
57,Blaziken,2.75%,60700,2.75%,45242,2.57%
58,Blissey,2.63%,57977,2.63%,45429,2.59%
59,Ribombee,2.54%,56013,2.54%,51575,2.93%
60,Greninja,2.53%,55962,2.54%,44000,2.50%
61,Rotom-Wash,2.53%,55893,2.53%,48414,2.75%
62,Venusaur,2.49%,55016,2.49%,42520,2.42%
63,Latios,2.43%,53716,2.43%,42373,2.41%
64,Lokix,2.41%,53158,2.41%,43586,2.48%
65,Tinkaton,2.37%,52292,2.37%,45738,2.60%
66,Skeledirge,2.27%,50068,2.27%,38397,2.18%
67,Quaquaval,2.17%,47926,2.17%,37587,2.14%
68,Keldeo,2.12%,46758,2.12%,38034,2.16%
69,Barraskewda,1.93%,42510,1.93%,33951,1.93%
70,Sinistcha,1.92%,42433,1.92%,33320,1.90%
71,Iron Hands,1.92%,42316,1.92%,33817,1.92%
72,Grimmsnarl,1.91%,42274,1.92%,36479,2.08%
73,Skarmory,1.79%,39497,1.79%,33923,1.93%
74,Goodra-Hisui,1.58%,34973,1.58%,28494,1.62%
75,Arcanine-Hisui,1.58%,34862,1.58%,27135,1.54%
76,Polteageist,1.56%,34350,1.56%,25430,1.45%
77,Iron Boulder,1.47%,32552,1.47%,23106,1.32%
78,Mimikyu,1.46%,32194,1.46%,24264,1.38%
79,Gengar,1.45%,32114,1.45%,24438,1.39%
80,Zoroark-Hisui,1.42%,31336,1.42%,13005,0.74%
81,Hawlucha,1.41%,31126,1.41%,22903,1.30%
82,Ogerpon-Cornerstone,1.41%,31090,1.41%,25002,1.42%
83,Maushold,1.40%,30869,1.40%,23325,1.33%
84,Thundurus-Therian,1.40%,30855,1.40%,24730,1.41%
85,Latias,1.32%,29189,1.32%,22010,1.25%
86,Cloyster,1.30%,28622,1.30%,21625,1.23%
87,Azumarill,1.29%,28513,1.29%,22663,1.29%
88,Incineroar,1.25%,27665,1.25%,22612,1.29%
89,Metagross,1.25%,27645,1.25%,21714,1.24%
90,Okidogi,1.23%,27112,1.23%,21848,1.24%
91,Volcanion,1.23%,27079,1.23%,22726,1.29%
92,Jolteon,1.21%,26701,1.21%,21196,1.21%
93,Manaphy,1.18%,26065,1.18%,20143,1.15%
94,Hydreigon,1.18%,26007,1.18%,20321,1.16%
95,Slither Wing,1.16%,25603,1.16%,20997,1.20%
96,Indeedee,1.13%,25039,1.13%,21820,1.24%
97,Charizard,1.12%,24635,1.12%,18302,1.04%
98,Kommo-o,1.09%,24171,1.10%,17406,0.99%
99,Comfey,1.09%,24046,1.09%,17899,1.02%
100,Umbreon,1.07%,23545,1.07%,17990,1.02%
101,Kingdra,1.04%,22929,1.04%,17674,1.01%
102,Mandibuzz,0.96%,21284,0.96%,16900,0.96%
103,Espeon,0.96%,21257,0.96%,16340,0.93%
104,Milotic,0.96%,21128,0.96%,16457,0.94%
105,Gyarados,0.94%,20839,0.94%,16444,0.94%
106,Armarouge,0.93%,20550,0.93%,15424,0.88%
107,Moltres-Galar,0.93%,20460,0.93%,15199,0.87%
108,Talonflame,0.91%,20113,0.91%,15496,0.88%
109,Blastoise,0.89%,19690,0.89%,15216,0.87%
110,Ditto,0.89%,19670,0.89%,14255,0.81%
111,Forretress,0.88%,19530,0.89%,16747,0.95%
112,Ogerpon,0.88%,19356,0.88%,15416,0.88%
113,Whimsicott,0.87%,19299,0.87%,15529,0.88%
114,Fezandipiti,0.87%,19274,0.87%,15859,0.90%
115,Galvantula,0.87%,19113,0.87%,16971,0.97%
116,Mamoswine,0.82%,18155,0.82%,14678,0.84%
117,Salamence,0.80%,17700,0.80%,13286,0.76%
118,Magnezone,0.79%,17404,0.79%,14003,0.80%
119,Empoleon,0.78%,17285,0.78%,13826,0.79%
120,Conkeldurr,0.78%,17196,0.78%,13541,0.77%
121,Kleavor,0.76%,16779,0.76%,14291,0.81%
122,Cresselia,0.76%,16758,0.76%,13134,0.75%
123,Gallade,0.74%,16448,0.75%,12154,0.69%
124,Lilligant-Hisui,0.74%,16436,0.74%,12355,0.70%
125,Gardevoir,0.72%,15970,0.72%,11915,0.68%
126,Lucario,0.72%,15946,0.72%,11821,0.67%
127,Sandy Shocks,0.72%,15919,0.72%,13043,0.74%
128,Haxorus,0.72%,15825,0.72%,11227,0.64%
129,Chandelure,0.70%,15450,0.70%,11651,0.66%
130,Jirachi,0.68%,14987,0.68%,11776,0.67%
131,Slowking,0.67%,14881,0.67%,12373,0.70%
132,Swampert,0.67%,14687,0.67%,12156,0.69%
133,Muk-Alola,0.66%,14511,0.66%,12127,0.69%
134,Amoonguss,0.66%,14501,0.66%,11144,0.63%
135,Infernape,0.65%,14279,0.65%,10863,0.62%
136,Quagsire,0.64%,14115,0.64%,10846,0.62%
137,Pawmot,0.61%,13549,0.61%,9855,0.56%
138,Bronzong,0.60%,13319,0.60%,11456,0.65%
139,Pincurchin,0.59%,13088,0.59%,12087,0.69%
140,Snorlax,0.59%,13029,0.59%,10048,0.57%
141,Tentacruel,0.58%,12896,0.58%,10415,0.59%
142,Gastrodon,0.58%,12724,0.58%,9975,0.57%
143,Mew,0.57%,12679,0.57%,10071,0.57%
144,Frosmoth,0.56%,12401,0.56%,9413,0.54%
145,Deoxys-Defense,0.55%,12226,0.55%,9357,0.53%
146,Sylveon,0.55%,12106,0.55%,8861,0.50%
147,Porygon2,0.55%,12085,0.55%,9849,0.56%
148,Basculegion,0.55%,12071,0.55%,9234,0.53%
149,Porygon-Z,0.50%,11088,0.50%,8514,0.48%
150,Krookodile,0.50%,10968,0.50%,8397,0.48%
151,Breloom,0.49%,10825,0.49%,8216,0.47%
152,Torterra,0.48%,10688,0.48%,8039,0.46%
153,Kilowattrel,0.47%,10396,0.47%,8311,0.47%
154,Chansey,0.47%,10267,0.47%,7571,0.43%
155,Zapdos-Galar,0.46%,10246,0.46%,8282,0.47%
156,Reuniclus,0.46%,10107,0.46%,7627,0.43%
157,Noivern,0.45%,9914,0.45%,7448,0.42%
158,Salazzle,0.45%,9871,0.45%,7644,0.44%
159,Sableye,0.44%,9785,0.44%,7900,0.45%
160,Vileplume,0.44%,9629,0.44%,7740,0.44%
161,Crawdaunt,0.43%,9528,0.43%,7504,0.43%
162,Politoed,0.43%,9472,0.43%,8164,0.46%
163,Overqwil,0.43%,9463,0.43%,7440,0.42%
164,Slowbro,0.43%,9419,0.43%,7470,0.43%
165,Thundurus,0.43%,9404,0.43%,7763,0.44%
166,Staraptor,0.42%,9343,0.42%,7538,0.43%
167,Hitmonlee,0.42%,9332,0.42%,6585,0.38%
168,Donphan,0.42%,9301,0.42%,7548,0.43%
169,Feraligatr,0.42%,9280,0.42%,6862,0.39%
170,Toxtricity,0.42%,9252,0.42%,7149,0.41%
171,Beartic,0.42%,9231,0.42%,7087,0.40%
172,Yanmega,0.42%,9200,0.42%,7053,0.40%
173,Ambipom,0.41%,9006,0.41%,7449,0.42%
174,Chesnaught,0.39%,8688,0.39%,7179,0.41%
175,Typhlosion-Hisui,0.39%,8682,0.39%,6303,0.36%
176,Cyclizar,0.39%,8566,0.39%,6303,0.36%
177,Vaporeon,0.39%,8562,0.39%,6705,0.38%
178,Cetitan,0.38%,8497,0.39%,6341,0.36%
179,Smeargle,0.37%,8202,0.37%,7208,0.41%
180,Scream Tail,0.37%,8196,0.37%,6630,0.38%
181,Arcanine,0.37%,8107,0.37%,6068,0.35%
182,Hippowdon,0.37%,8083,0.37%,6941,0.40%
183,Klefki,0.36%,8049,0.37%,6924,0.39%
184,Iron Jugulis,0.36%,8039,0.36%,6320,0.36%
185,Grafaiai,0.36%,8025,0.36%,6500,0.37%
186,Sceptile,0.36%,7985,0.36%,5983,0.34%
187,Goodra,0.36%,7969,0.36%,5825,0.33%
188,Inteleon,0.36%,7900,0.36%,6162,0.35%
189,Ludicolo,0.35%,7655,0.35%,5890,0.34%
190,Entei,0.35%,7638,0.35%,5921,0.34%
191,Bisharp,0.34%,7597,0.34%,5663,0.32%
192,Necrozma,0.34%,7519,0.34%,6026,0.34%
193,Cinccino,0.33%,7323,0.33%,5593,0.32%
194,Drifblim,0.33%,7251,0.33%,5719,0.33%
195,Suicune,0.33%,7204,0.33%,5575,0.32%
