Rank,Pokemon,Usage %,Raw,%,Real,%
1,Landorus-Therian,34.79%,72251,34.79%,63334,38.46%
2,Greninja,26.35%,54729,26.35%,42144,25.59%
3,Magearna,20.46%,42500,20.46%,34932,21.21%
4,Ferrothorn,16.11%,33452,16.11%,28693,17.42%
5,Tapu Koko,15.82%,32857,15.82%,27316,16.59%
6,Kartana,14.40%,29916,14.40%,22301,13.54%
7,Heatran,13.76%,28568,13.76%,24132,14.65%
8,Tapu Lele,12.54%,26043,12.54%,20428,12.40%
9,Toxapex,11.41%,23702,11.41%,18923,11.49%
10,Rotom-Wash,10.87%,22569,10.87%,19568,11.88%
11,Serperior,10.16%,21104,10.16%,16102,9.78%
12,Hawlucha,9.76%,20271,9.76%,13803,8.38%
13,Excadrill,9.43%,19578,9.43%,15721,9.55%
14,Tapu Fini,9.31%,19346,9.32%,16313,9.91%
15,Gliscor,8.97%,18628,8.97%,14694,8.92%
16,Tornadus-Therian,8.89%,18469,8.89%,14867,9.03%
17,Garchomp,8.34%,17321,8.34%,14136,8.58%
18,Volcarona,7.98%,16571,7.98%,12064,7.33%
19,Chansey,7.82%,16243,7.82%,12872,7.82%
20,Medicham-Mega,7.66%,15909,7.66%,13138,7.98%
21,Zapdos,7.37%,15311,7.37%,12431,7.55%
22,Charizard-Mega-X,7.04%,14620,7.04%,10934,6.64%
23,Kommo-o,6.80%,14130,6.80%,10504,6.38%
24,Kyurem-Black,6.38%,13253,6.38%,10248,6.22%
25,Victini,6.36%,13209,6.36%,10645,6.46%
26,Pelipper,6.25%,12977,6.25%,11968,7.27%
27,Clefable,6.25%,12972,6.25%,10019,6.08%
28,Blacephalon,6.03%,12519,6.03%,9281,5.64%
29,Alakazam-Mega,5.88%,12220,5.88%,8660,5.26%
30,Mawile-Mega,5.75%,11949,5.75%,8903,5.41%
31,Swampert-Mega,5.73%,11893,5.73%,9745,5.92%
32,Celesteela,5.61%,11644,5.61%,9348,5.68%
33,Charizard-Mega-Y,5.50%,11413,5.50%,9330,5.67%
34,Lopunny-Mega,5.46%,11348,5.46%,8901,5.41%
35,Tapu Bulu,5.19%,10781,5.19%,8513,5.17%
36,Skarmory,5.01%,10408,5.01%,8380,5.09%
37,Scizor-Mega,4.85%,10068,4.85%,7971,4.84%
38,Diancie-Mega,4.49%,9332,4.49%,8040,4.88%
39,Dragonite,4.43%,9193,4.43%,6563,3.99%
40,Magnezone,4.37%,9075,4.37%,7335,4.45%
41,Tyranitar,4.29%,8917,4.29%,7220,4.38%
42,Jirachi,3.79%,7872,3.79%,6276,3.81%
