Rank,Pokemon,Usage %,Raw,%,Real,%
188,Muk,0.04%,53,0.04%,43,0.04%
189,Spinda,0.04%,53,0.04%,53,0.05%
190,Manectric,0.04%,52,0.04%,34,0.03%
191,Sudowoodo,0.04%,52,0.04%,38,0.04%
192,Buizel,0.04%,52,0.04%,43,0.04%
193,Sharpedo,0.04%,50,0.04%,46,0.04%
194,Bastiodon,0.04%,50,0.04%,34,0.03%
195,Dusclops,0.04%,49,0.04%,40,0.04%
196,Kecleon,0.04%,48,0.04%,32,0.03%
197,Relicanth,0.04%,48,0.04%,45,0.04%
198,Magcargo,0.04%,46,0.04%,36,0.03%
199,Hypno,0.03%,44,0.03%,37,0.03%
200,Glalie,0.03%,42,0.03%,34,0.03%
201,Krabby,0.03%,42,0.03%,22,0.02%
202,Carnivine,0.03%,41,0.03%,34,0.03%
203,Rotom,0.03%,39,0.03%,35,0.03%
204,Pachirisu,0.03%,37,0.03%,33,0.03%
205,Parasect,0.03%,34,0.03%,26,0.02%
206,Bibarel,0.03%,34,0.03%,21,0.02%
207,Ledian,0.03%,34,0.03%,30,0.03%
208,Whiscash,0.03%,33,0.03%,25,0.02%
209,Haunter,0.03%,33,0.03%,29,0.03%
210,Yanma,0.03%,33,0.03%,33,0.03%
211,Mawile,0.03%,33,0.03%,31,0.03%
212,Fearow,0.02%,32,0.02%,27,0.03%
213,Onix,0.02%,31,0.02%,31,0.03%
214,Purugly,0.02%,31,0.02%,30,0.03%
215,Crawdaunt,0.02%,30,0.02%,29,0.03%
216,Illumise,0.02%,30,0.02%,30,0.03%
217,Kricketune,0.02%,28,0.02%,25,0.02%
218,Buneary,0.02%,28,0.02%,17,0.02%
219,Tropius,0.02%,28,0.02%,22,0.02%
220,Granbull,0.02%,26,0.02%,22,0.02%
221,Aron,0.02%,26,0.02%,23,0.02%
222,Dodrio,0.02%,25,0.02%,18,0.02%
223,Pichu,0.02%,24,0.02%,22,0.02%
224,Swalot,0.02%,24,0.02%,19,0.02%
225,Pelipper,0.02%,24,0.02%,16,0.02%
226,Magmar,0.02%,23,0.02%,18,0.02%
227,Rattata,0.02%,23,0.02%,20,0.02%
228,Noctowl,0.02%,22,0.02%,17,0.02%
229,Wooper,0.02%,22,0.02%,22,0.02%
230,Minun,0.02%,21,0.02%,16,0.02%
231,Ditto,0.02%,21,0.02%,20,0.02%
232,Lumineon,0.02%,21,0.02%,16,0.02%
233,Togepi,0.02%,20,0.02%,10,0.01%
234,Plusle,0.02%,20,0.02%,19,0.02%
235,Wormadam-Sandy,0.02%,20,0.02%,17,0.02%
236,Exploud,0.01%,19,0.02%,12,0.01%
237,Mareep,0.01%,19,0.02%,17,0.02%
238,Wailord,0.01%,18,0.01%,18,0.02%
239,Bulbasaur,0.01%,18,0.01%,7,0.01%
240,Surskit,0.01%,18,0.01%,15,0.01%
241,Poochyena,0.01%,18,0.01%,15,0.01%
242,Shinx,0.01%,18,0.01%,15,0.01%
243,Squirtle,0.01%,17,0.01%,12,0.01%
244,Chatot,0.01%,16,0.01%,14,0.01%
245,Girafarig,0.01%,16,0.01%,10,0.01%
246,Wigglytuff,0.01%,16,0.01%,9,0.01%
247,Lunatone,0.01%,15,0.01%,11,0.01%
248,Anorith,0.01%,15,0.01%,8,0.01%
249,Bellossom,0.01%,14,0.01%,13,0.01%
250,Marill,0.01%,14,0.01%,12,0.01%
251,Swinub,0.01%,13,0.01%,10,0.01%
252,Sunflora,0.01%,12,0.01%,9,0.01%
253,Dunsparce,0.01%,12,0.01%,11,0.01%
254,Stantler,0.01%,12,0.01%,11,0.01%
255,Vespiquen,0.01%,11,0.01%,10,0.01%
256,Clefairy,0.01%,9,0.01%,4,0.00%
257,Delibird,0.01%,9,0.01%,8,0.01%
258,Skitty,0.01%,9,0.01%,9,0.01%
259,Porygon,0.01%,8,0.01%,8,0.01%
260,Furret,0.01%,8,0.01%,5,0.01%
261,Ralts,0.01%,8,0.01%,8,0.01%
262,Gligar,0.01%,7,0.01%,5,0.01%
263,Mr.Mime,0.01%,7,0.01%,5,0.01%
264,Cherrim,0.01%,7,0.01%,7,0.01%
265,Mightyena,0.01%,7,0.01%,5,0.01%
266,Roselia,0.01%,7,0.01%,7,0.01%
267,Charmeleon,0.01%,7,0.01%,5,0.01%
268,Huntail,0.00%,6,0.01%,5,0.01%
269,Sneasel,0.00%,6,0.01%,6,0.01%
270,Rhydon,0.00%,6,0.01%,5,0.01%
271,Hippopotas,0.00%,6,0.01%,6,0.01%
272,Nosepass,0.00%,6,0.01%,6,0.01%
273,Monferno,0.00%,5,0.00%,3,0.00%
274,Delcatty,0.00%,5,0.00%,4,0.00%
275,Beedrill,0.00%,5,0.00%,3,0.00%
276,Taillow,0.00%,5,0.00%,2,0.00%
277,Finneon,0.00%,5,0.00%,5,0.01%
278,Mantyke,0.00%,5,0.00%,4,0.00%
279,Starly,0.00%,5,0.00%,3,0.00%
280,Seaking,0.00%,5,0.00%,5,0.01%
281,Dragonair,0.00%,5,0.00%,2,0.00%
282,Totodile,0.00%,5,0.00%,5,0.01%
283,Murkrow,0.00%,4,0.00%,2,0.00%
284,Misdreavus,0.00%,4,0.00%,3,0.00%
285,Graveler,0.00%,4,0.00%,4,0.00%
286,Piloswine,0.00%,4,0.00%,4,0.00%
287,Gorebyss,0.00%,4,0.00%,3,0.00%
288,Beautifly,0.00%,4,0.00%,2,0.00%
289,Gastly,0.00%,4,0.00%,3,0.00%
290,Feebas,0.00%,4,0.00%,4,0.00%
291,Grumpig,0.00%,4,0.00%,4,0.00%
292,Doduo,0.00%,4,0.00%,2,0.00%
293,Corsola,0.00%,3,0.00%,3,0.00%
294,Farfetch'd,0.00%,3,0.00%,2,0.00%
295,Remoraid,0.00%,3,0.00%,3,0.00%
296,Wormadam-Trash,0.00%,3,0.00%,3,0.00%
297,Quilava,0.00%,3,0.00%,3,0.00%
298,Geodude,0.00%,3,0.00%,2,0.00%
299,Corphish,0.00%,3,0.00%,3,0.00%
300,Grovyle,0.00%,3,0.00%,2,0.00%
301,Chimecho,0.00%,3,0.00%,2,0.00%
302,Sealeo,0.00%,3,0.00%,1,0.00%
303,Treecko,0.00%,3,0.00%,0,0.00%
304,Vibrava,0.00%,2,0.00%,2,0.00%
305,Munchlax,0.00%,2,0.00%,2,0.00%
306,Tangela,0.00%,2,0.00%,2,0.00%
307,Combusken,0.00%,2,0.00%,2,0.00%
308,Staryu,0.00%,2,0.00%,1,0.00%
309,Magnemite,0.00%,2,0.00%,1,0.00%
310,Mothim,0.00%,2,0.00%,2,0.00%
311,Bonsly,0.00%,2,0.00%,2,0.00%
312,Drifloon,0.00%,2,0.00%,2,0.00%
313,Aipom,0.00%,2,0.00%,2,0.00%
314,Wartortle,0.00%,2,0.00%,1,0.00%
315,Nidorino,0.00%,2,0.00%,2,0.00%
316,Wingull,0.00%,1,0.00%,1,0.00%
317,Meditite,0.00%,1,0.00%,1,0.00%
318,Grotle,0.00%,1,0.00%,1,0.00%
319,Machop,0.00%,1,0.00%,0,0.00%
320,Luxio,0.00%,1,0.00%,1,0.00%
321,Metang,0.00%,1,0.00%,1,0.00%
322,Zubat,0.00%,1,0.00%,1,0.00%
323,Spinarak,0.00%,1,0.00%,1,0.00%
324,Chikorita,0.00%,1,0.00%,1,0.00%
325,Happiny,0.00%,1,0.00%,1,0.00%
326,Ivysaur,0.00%,1,0.00%,1,0.00%
327,Togetic,0.00%,1,0.00%,1,0.00%
328,Phanpy,0.00%,1,0.00%,1,0.00%
329,Kadabra,0.00%,1,0.00%,1,0.00%
330,Meowth,0.00%,1,0.00%,0,0.00%
331,Magikarp,0.00%,1,0.00%,1,0.00%
332,Kakuna,0.00%,1,0.00%,1,0.00%
333,Beldum,0.00%,1,0.00%,1,0.00%
334,Spoink,0.00%,1,0.00%,1,0.00%
335,Golbat,0.00%,1,0.00%,0,0.00%
336,Snover,0.00%,1,0.00%,1,0.00%
337,Elekid,0.00%,1,0.00%,1,0.00%
338,Trapinch,0.00%,1,0.00%,1,0.00%
339,Abra,0.00%,1,0.00%,1,0.00%
