Rank,Pokemon,Usage %,Raw,%,Real,%
1,Tyranitar,40.70%,53207,40.70%,43236,40.02%
2,Latias,29.90%,39089,29.90%,30732,28.45%
3,Jirachi,29.61%,38703,29.61%,31913,29.54%
4,Heatran,25.62%,33489,25.62%,28693,26.56%
5,Starmie,24.18%,31614,24.18%,25784,23.87%
6,Scizor,21.75%,28432,21.75%,23140,21.42%
7,Metagross,21.45%,28040,21.45%,24145,22.35%
8,Gyarados,21.40%,27977,21.40%,23184,21.46%
9,Breloom,21.11%,27594,21.11%,22742,21.05%
10,Infernape,19.67%,25713,19.67%,20852,19.30%
11,Gengar,18.83%,24611,18.83%,19134,17.71%
12,Flygon,17.41%,22764,17.41%,18051,16.71%
13,Dragonite,16.70%,21837,16.70%,16512,15.28%
14,Skarmory,14.20%,18559,14.20%,16882,15.63%
15,Swampert,14.06%,18379,14.06%,16385,15.17%
16,Bronzong,13.39%,17500,13.39%,15910,14.73%
17,Lucario,13.30%,17393,13.31%,12543,11.61%
18,Azelf,13.07%,17083,13.07%,16581,15.35%
19,Zapdos,13.01%,17006,13.01%,14435,13.36%
20,Suicune,11.77%,15381,11.77%,12590,11.65%
21,Rotom-Wash,11.27%,14739,11.28%,12232,11.32%
22,Rotom-Heat,9.80%,12810,9.80%,10696,9.90%
23,Magnezone,9.69%,12668,9.69%,10114,9.36%
24,Empoleon,8.01%,10471,8.01%,9123,8.45%
25,Kingdra,7.87%,10285,7.87%,8231,7.62%
26,Clefable,7.61%,9943,7.61%,8056,7.46%
27,Roserade,7.27%,9506,7.27%,8445,7.82%
28,Gliscor,6.82%,8921,6.82%,7223,6.69%
29,Aerodactyl,6.41%,8385,6.41%,7831,7.25%
30,Celebi,5.49%,7178,5.49%,5953,5.51%
31,Blissey,5.48%,7163,5.48%,5746,5.32%
32,Forretress,5.41%,7075,5.41%,6412,5.94%
33,Hippowdon,4.63%,6055,4.63%,5730,5.30%
34,Donphan,4.08%,5335,4.08%,4571,4.23%
35,Weavile,4.02%,5254,4.02%,4073,3.77%
36,Snorlax,2.74%,3586,2.74%,2853,2.64%
37,Heracross,2.73%,3571,2.73%,2793,2.59%
38,Togekiss,2.70%,3525,2.70%,2714,2.51%
39,Uxie,2.69%,3512,2.69%,3316,3.07%
40,Jolteon,2.57%,3358,2.57%,2463,2.28%
41,Milotic,2.20%,2880,2.20%,2402,2.22%
42,Mamoswine,2.13%,2782,2.13%,2261,2.09%
43,Electivire,2.12%,2773,2.12%,2232,2.07%
44,Tentacruel,2.12%,2773,2.12%,2293,2.12%
45,Ludicolo,1.96%,2567,1.96%,2075,1.92%
46,Raikou,1.92%,2515,1.92%,1976,1.83%
47,Cresselia,1.92%,2508,1.92%,2130,1.97%
48,Nidoqueen,1.85%,2418,1.85%,2112,1.96%
49,Abomasnow,1.75%,2289,1.75%,2028,1.88%
50,Shaymin,1.74%,2272,1.74%,1910,1.77%
51,Rotom-Mow,1.72%,2250,1.72%,1918,1.78%
52,Crobat,1.68%,2199,1.68%,2008,1.86%
53,Porygon-Z,1.67%,2188,1.67%,1748,1.62%
54,Rhyperior,1.66%,2174,1.66%,1616,1.50%
55,Quagsire,1.64%,2147,1.64%,1843,1.71%
56,Umbreon,1.63%,2126,1.63%,1649,1.53%
57,Feraligatr,1.60%,2091,1.60%,1462,1.35%
58,Magneton,1.60%,2086,1.60%,1647,1.53%
59,Rotom-Frost,1.47%,1923,1.47%,1686,1.56%
60,Dusknoir,1.41%,1846,1.41%,1570,1.45%
61,Vaporeon,1.39%,1818,1.39%,1522,1.41%
62,Hitmontop,1.37%,1796,1.37%,1465,1.36%
63,Smeargle,1.31%,1712,1.31%,1596,1.48%
64,Yanmega,1.23%,1604,1.23%,1443,1.34%
65,Claydol,1.17%,1525,1.17%,1314,1.22%
66,Kabutops,1.13%,1480,1.13%,1038,0.96%
67,Gallade,1.03%,1342,1.03%,1145,1.06%
68,Charizard,0.99%,1297,0.99%,1045,0.97%
69,Hariyama,0.96%,1255,0.96%,1051,0.97%
70,Qwilfish,0.93%,1213,0.93%,842,0.78%
71,Arcanine,0.91%,1191,0.91%,937,0.87%
72,Staraptor,0.89%,1161,0.89%,937,0.87%
73,Alakazam,0.86%,1126,0.86%,908,0.84%
74,Honchkrow,0.83%,1090,0.83%,816,0.76%
75,Spiritomb,0.77%,1006,0.77%,833,0.77%
76,Ambipom,0.77%,1003,0.77%,912,0.84%
77,Blastoise,0.73%,955,0.73%,766,0.71%
78,Mismagius,0.66%,869,0.67%,675,0.63%
79,Drapion,0.65%,850,0.65%,705,0.65%
80,Sceptile,0.65%,846,0.65%,609,0.56%
81,Houndoom,0.61%,799,0.61%,601,0.56%
82,Gardevoir,0.56%,736,0.56%,554,0.51%
83,Typhlosion,0.56%,733,0.56%,555,0.51%
84,Walrein,0.55%,724,0.55%,556,0.52%
85,Weezing,0.55%,723,0.55%,618,0.57%
86,Torterra,0.53%,690,0.53%,553,0.51%
87,Venusaur,0.50%,658,0.50%,505,0.47%
88,Gastrodon,0.49%,641,0.49%,537,0.50%
89,Slowbro,0.48%,627,0.48%,511,0.47%
90,Rampardos,0.46%,606,0.46%,445,0.41%
91,Registeel,0.45%,594,0.45%,545,0.50%
92,Camerupt,0.44%,580,0.44%,484,0.45%
93,Shedinja,0.42%,554,0.42%,307,0.28%
94,Azumarill,0.42%,552,0.42%,450,0.42%
95,Rotom-Fan,0.42%,551,0.42%,449,0.42%
96,Armaldo,0.42%,545,0.42%,456,0.42%
97,Aggron,0.41%,542,0.42%,407,0.38%
98,Nidoking,0.40%,527,0.40%,428,0.40%
99,Exeggutor,0.40%,519,0.40%,454,0.42%
100,Moltres,0.40%,518,0.40%,427,0.40%
101,Absol,0.38%,497,0.38%,375,0.35%
102,Omastar,0.37%,480,0.37%,291,0.27%
103,Magmortar,0.37%,479,0.37%,380,0.35%
104,Slowking,0.35%,452,0.35%,341,0.32%
105,Lanturn,0.32%,423,0.32%,354,0.33%
106,Hitmonchan,0.32%,416,0.32%,352,0.33%
107,Shuckle,0.32%,412,0.32%,337,0.31%
108,Pikachu,0.31%,411,0.31%,339,0.31%
109,Mesprit,0.30%,394,0.30%,333,0.31%
110,Steelix,0.30%,392,0.30%,305,0.28%
111,Toxicroak,0.30%,391,0.30%,318,0.29%
112,Lapras,0.30%,388,0.30%,289,0.27%
113,Swellow,0.30%,387,0.30%,279,0.26%
114,Drifblim,0.29%,384,0.29%,299,0.28%
115,Ninjask,0.29%,382,0.29%,320,0.30%
116,Miltank,0.29%,374,0.29%,319,0.30%
117,Tangrowth,0.27%,359,0.28%,301,0.28%
118,Blaziken,0.27%,358,0.27%,281,0.26%
119,Ursaring,0.27%,352,0.27%,288,0.27%
120,Slaking,0.27%,349,0.27%,305,0.28%
121,Porygon,0.27%,349,0.27%,270,0.25%
122,Marowak,0.26%,346,0.27%,303,0.28%
123,Scyther,0.26%,336,0.26%,255,0.24%
124,Regirock,0.26%,334,0.26%,223,0.21%
125,Cradily,0.25%,328,0.25%,268,0.25%
126,Kangaskhan,0.24%,315,0.24%,246,0.23%
127,Meganium,0.23%,306,0.23%,226,0.21%
128,Luxray,0.23%,304,0.23%,244,0.23%
129,Cloyster,0.23%,303,0.23%,268,0.25%
130,Espeon,0.23%,302,0.23%,216,0.20%
131,Hitmonlee,0.22%,288,0.22%,234,0.22%
132,Lopunny,0.22%,287,0.22%,282,0.26%
133,Medicham,0.21%,269,0.21%,215,0.20%
134,Octillery,0.20%,262,0.20%,224,0.21%
135,Banette,0.20%,258,0.20%,173,0.16%
136,Regigigas,0.18%,231,0.18%,174,0.16%
137,Jumpluff,0.17%,225,0.17%,213,0.20%
138,Altaria,0.16%,208,0.16%,140,0.13%
139,Sableye,0.16%,206,0.16%,139,0.13%
140,Ampharos,0.16%,206,0.16%,160,0.15%
141,Butterfree,0.16%,204,0.16%,185,0.17%
142,Ninetales,0.16%,203,0.16%,153,0.14%
143,Torkoal,0.15%,199,0.15%,175,0.16%
144,Regice,0.15%,192,0.15%,138,0.13%
145,Golem,0.15%,192,0.15%,171,0.16%
146,Floatzel,0.15%,191,0.15%,152,0.14%
147,Electrode,0.14%,189,0.15%,184,0.17%
148,Leafeon,0.14%,188,0.14%,139,0.13%
149,Golduck,0.14%,186,0.14%,180,0.17%
150,Entei,0.14%,183,0.14%,153,0.14%
151,Clamperl,0.13%,175,0.13%,140,0.13%
152,Probopass,0.13%,170,0.13%,149,0.14%
153,Poliwrath,0.12%,162,0.12%,134,0.12%
154,Machoke,0.12%,153,0.12%,128,0.12%
155,Primeape,0.10%,135,0.10%,119,0.11%
156,Rapidash,0.10%,134,0.10%,99,0.09%
157,Skuntank,0.10%,131,0.10%,109,0.10%
158,Victreebel,0.10%,129,0.10%,99,0.09%
159,Tauros,0.10%,129,0.10%,93,0.09%
160,Flareon,0.09%,119,0.09%,92,0.09%
161,Persian,0.09%,112,0.09%,72,0.07%
162,Articuno,0.08%,111,0.09%,93,0.09%
163,Pinsir,0.08%,107,0.08%,97,0.09%
164,Arbok,0.08%,103,0.08%,89,0.08%
165,Venomoth,0.08%,99,0.08%,94,0.09%
166,Lickilicky,0.07%,96,0.07%,70,0.07%
167,Vileplume,0.07%,95,0.07%,75,0.07%
168,Kingler,0.07%,93,0.07%,67,0.06%
169,Politoed,0.07%,91,0.07%,75,0.07%
170,Linoone,0.07%,88,0.07%,69,0.06%
171,Ariados,0.07%,86,0.07%,77,0.07%
172,Shiftry,0.06%,80,0.06%,62,0.06%
173,Xatu,0.06%,78,0.06%,66,0.06%
174,Solrock,0.06%,73,0.06%,68,0.06%
175,Psyduck,0.06%,72,0.06%,48,0.04%
176,Mantine,0.05%,71,0.05%,59,0.06%
177,Jynx,0.05%,67,0.05%,50,0.05%
178,Pidgeot,0.05%,67,0.05%,51,0.05%
179,Electabuzz,0.05%,66,0.05%,56,0.05%
180,Seviper,0.05%,66,0.05%,66,0.06%
181,Chansey,0.05%,66,0.05%,54,0.05%
182,Dewgong,0.05%,63,0.05%,57,0.05%
183,Raichu,0.05%,62,0.05%,56,0.05%
184,Bidoof,0.05%,61,0.05%,28,0.03%
185,Raticate,0.04%,56,0.04%,40,0.04%
186,Castform,0.04%,55,0.04%,38,0.04%
187,Zangoose,0.04%,55,0.04%,39,0.04%
