Rank,Pokemon,Usage %,Raw,%,Real,%
1,Snorlax,81.07%,14402,81.07%,12517,82.11%
2,Zapdos,49.09%,8720,49.09%,7756,50.88%
3,Cloyster,46.41%,8244,46.41%,7631,50.06%
4,Tyranitar,32.29%,5736,32.29%,4808,31.54%
5,Gengar,31.24%,5550,31.24%,4708,30.88%
6,Raikou,23.43%,4162,23.43%,3764,24.69%
7,Exeggutor,22.39%,3977,22.39%,3590,23.55%
8,Starmie,18.82%,3344,18.83%,2827,18.54%
9,Skarmory,17.99%,3195,17.99%,2776,18.21%
10,Golem,16.74%,2973,16.74%,2571,16.87%
11,Forretress,16.41%,2915,16.41%,2690,17.65%
12,Machamp,16.22%,2882,16.22%,2300,15.09%
13,Jolteon,14.21%,2524,14.21%,2291,15.03%
14,Nidoking,13.76%,2444,13.76%,2169,14.23%
15,Marowak,12.62%,2241,12.62%,1766,11.58%
16,Steelix,12.16%,2160,12.16%,1921,12.60%
17,Heracross,11.39%,2023,11.39%,1676,10.99%
18,Blissey,11.37%,2020,11.37%,1676,10.99%
19,Scizor,10.32%,1833,10.32%,1549,10.16%
20,Alakazam,9.43%,1675,9.43%,1336,8.76%
21,Miltank,7.60%,1350,7.60%,946,6.21%
22,Umbreon,7.30%,1297,7.30%,1070,7.02%
23,Smeargle,6.98%,1240,6.98%,1189,7.80%
24,Vaporeon,6.96%,1237,6.96%,957,6.28%
25,Jynx,6.88%,1222,6.88%,1070,7.02%
26,Misdreavus,6.67%,1184,6.67%,992,6.51%
27,Espeon,6.45%,1145,6.45%,879,5.77%
28,Kingdra,6.24%,1109,6.24%,817,5.36%
29,Dragonite,4.71%,836,4.71%,716,4.70%
30,Charizard,3.83%,681,3.83%,534,3.50%
31,Suicune,3.63%,645,3.63%,527,3.46%
32,Houndoom,3.44%,611,3.44%,498,3.27%
33,Rhydon,3.36%,597,3.36%,486,3.19%
34,Arcanine,3.29%,584,3.29%,415,2.72%
35,Tentacruel,3.26%,579,3.26%,479,3.14%
36,Porygon,3.04%,540,3.04%,482,3.16%
37,Quagsire,2.91%,517,2.91%,430,2.82%
38,Moltres,2.32%,413,2.33%,347,2.28%
39,Typhlosion,2.08%,370,2.08%,329,2.16%
40,Aerodactyl,2.03%,361,2.03%,309,2.03%
41,Blastoise,1.89%,336,1.89%,283,1.86%
42,Piloswine,1.68%,298,1.68%,247,1.62%
43,Meganium,1.62%,288,1.62%,256,1.68%
44,Venusaur,1.45%,257,1.45%,208,1.36%
45,Kangaskhan,1.36%,242,1.36%,201,1.32%
46,Electabuzz,1.32%,235,1.32%,195,1.28%
47,Ampharos,1.26%,224,1.26%,182,1.19%
48,Tauros,1.03%,183,1.03%,140,0.92%
49,Muk,0.99%,175,0.99%,168,1.10%
50,Donphan,0.96%,171,0.96%,152,1.00%
51,Pikachu,0.87%,154,0.87%,132,0.87%
52,Articuno,0.85%,151,0.85%,126,0.83%
53,Entei,0.82%,145,0.82%,132,0.87%
54,Nidoqueen,0.79%,140,0.79%,119,0.78%
55,Poliwrath,0.78%,139,0.78%,112,0.74%
56,Gyarados,0.78%,138,0.78%,119,0.78%
57,Electrode,0.76%,135,0.76%,120,0.79%
58,Crobat,0.71%,126,0.71%,107,0.70%
59,Primeape,0.70%,125,0.70%,104,0.68%
60,Shuckle,0.66%,117,0.66%,97,0.64%
61,Victreebel,0.64%,114,0.64%,103,0.68%
62,Lanturn,0.62%,110,0.62%,98,0.64%
63,Jumpluff,0.58%,103,0.58%,89,0.58%
64,Clefable,0.56%,99,0.56%,69,0.45%
65,Qwilfish,0.50%,89,0.50%,84,0.55%
66,Feraligatr,0.48%,85,0.48%,70,0.46%
67,Magmar,0.47%,83,0.47%,60,0.39%
68,Hitmonlee,0.46%,81,0.46%,68,0.45%
69,Bellossom,0.42%,75,0.42%,61,0.40%
70,Persian,0.39%,70,0.39%,64,0.42%
71,Lapras,0.39%,69,0.39%,53,0.35%
72,Sneasel,0.38%,68,0.38%,57,0.37%
73,Dodrio,0.38%,67,0.38%,44,0.29%
74,Vileplume,0.38%,67,0.38%,53,0.35%
75,Scyther,0.36%,64,0.36%,60,0.39%
76,Pinsir,0.35%,62,0.35%,45,0.30%
77,Slowbro,0.34%,61,0.34%,51,0.34%
78,Politoed,0.33%,59,0.33%,48,0.32%
79,Sandslash,0.33%,58,0.33%,46,0.30%
80,Magneton,0.32%,57,0.32%,52,0.34%
81,Omastar,0.32%,56,0.32%,44,0.29%
82,Chansey,0.31%,55,0.31%,53,0.35%
83,Granbull,0.30%,53,0.30%,48,0.32%
84,Kabutops,0.30%,53,0.30%,41,0.27%
85,Dugtrio,0.29%,52,0.29%,39,0.26%
86,Gligar,0.29%,52,0.29%,44,0.29%
87,Ariados,0.29%,52,0.29%,44,0.29%
88,Raichu,0.28%,49,0.28%,33,0.22%
89,Delibird,0.25%,45,0.25%,38,0.25%
90,Golduck,0.24%,43,0.24%,34,0.22%
91,Weezing,0.23%,41,0.23%,35,0.23%
92,Arbok,0.20%,36,0.20%,32,0.21%
93,Girafarig,0.20%,35,0.20%,23,0.15%
94,Venomoth,0.18%,32,0.18%,32,0.21%
95,Magcargo,0.17%,30,0.17%,22,0.14%
96,Murkrow,0.17%,30,0.17%,21,0.14%
97,Hypno,0.17%,30,0.17%,27,0.18%
98,Wobbuffet,0.16%,29,0.16%,19,0.13%
99,Hitmonchan,0.15%,27,0.15%,24,0.16%
100,Dragonair,0.15%,26,0.15%,23,0.15%
101,Noctowl,0.14%,24,0.14%,17,0.11%
102,Ledian,0.14%,24,0.14%,23,0.15%
103,Ninetales,0.13%,23,0.13%,19,0.13%
104,Flareon,0.13%,23,0.13%,17,0.11%
105,Slowking,0.12%,22,0.12%,19,0.13%
106,Ursaring,0.12%,22,0.12%,21,0.14%
107,Fearow,0.12%,21,0.12%,16,0.11%
108,Aipom,0.12%,21,0.12%,14,0.09%
109,Ditto,0.10%,18,0.10%,8,0.05%
110,Dewgong,0.10%,18,0.10%,13,0.09%
111,Sudowoodo,0.10%,18,0.10%,17,0.11%
112,Kingler,0.09%,16,0.09%,12,0.08%
113,Hitmontop,0.08%,15,0.08%,13,0.09%
114,Lickitung,0.08%,15,0.08%,7,0.05%
115,Pidgeot,0.08%,14,0.08%,9,0.06%
116,Raticate,0.08%,14,0.08%,10,0.07%
117,Rapidash,0.08%,14,0.08%,9,0.06%
118,Mantine,0.07%,13,0.07%,10,0.07%
119,Xatu,0.07%,13,0.07%,11,0.07%
120,Mr.Mime,0.07%,13,0.07%,10,0.07%
121,Seaking,0.07%,13,0.07%,10,0.07%
122,Poliwhirl,0.07%,13,0.07%,10,0.07%
123,Haunter,0.07%,13,0.07%,10,0.07%
124,Furret,0.07%,13,0.07%,13,0.09%
125,Tangela,0.07%,13,0.07%,12,0.08%
126,Butterfree,0.07%,12,0.07%,7,0.05%
127,Totodile,0.06%,11,0.06%,11,0.07%
128,Ivysaur,0.06%,11,0.06%,9,0.06%
129,Onix,0.06%,11,0.06%,10,0.07%
130,Togetic,0.06%,11,0.06%,9,0.06%
131,Beedrill,0.06%,11,0.06%,9,0.06%
132,Bayleef,0.06%,10,0.06%,9,0.06%
133,Chikorita,0.06%,10,0.06%,0,0.00%
134,Cyndaquil,0.05%,9,0.05%,9,0.06%
